serial,latitude,longitude,height,type
-1408235023,53.3007,12.6174,5.0,dump1090
-1408236586,52.3794,4.5471,3.0,dump1090
-1408235145,50.58647,5.61924,185.0,dump1090
-1408236093,54.80403,11.872565,10.0,dump1090
-1408236060,51.5358,7.6138,65.0,dump1090
-1408236352,51.8297,4.7637,10.0,dump1090
-1408235231,50.0974,8.2655,230.0,dump1090
-1408234547,52.09527,4.9985,8.0,dump1090
-1408235580,52.3827,5.2584,4.0,dump1090
-1408236394,50.77492,3.94975,100.0,dump1090
-1408236377,49.127,8.5192,125.0,dump1090
-1408234967,51.0075,6.5494,65.0,dump1090
-1408235779,52.5772,8.1373,51.0,dump1090
-1408236338,52.34627,4.6779,12.0,dump1090
-1408236264,52.38154,9.98306,72.0,dump1090
-1408235194,50.9069,4.29834,51.0,dump1090
-1408234674,51.2962,7.0846,250.0,dump1090
-1408235907,51.558435,6.7351,40.0,dump1090
-1408236390,51.327767,3.485682,10.0,dump1090
-1408237098,51.9899,4.3754,30.0,dump1090
2106258787,51.83308410644531,4.14280366897583,-2.034991979598999,Radarcape
-1408236123,52.1624,4.5331,15.0,dump1090
-1408235928,53.2458,10.4425,50.0,dump1090
-1408234667,52.3978,12.5424,40.0,dump1090
1433788987,51.83308792114258,4.14274263381958,6.676554203033447,Radarcape
-1408237369,52.592428,7.286886,43.81,dump1090
1401767558,51.8331298828125,4.142801284790039,-4.539999961853027,Radarcape
-1408237453,52.235266,10.506663,85.0,dump1090
-1408237245,51.2438,6.5479,46.0,dump1090
1408237502,51.0075,6.5494,65.0,dump1090
-1408236263,51.17,6.2838,77.0,dump1090
-1408236669,52.1114,11.6383,57.0,dump1090
-1408234842,51.4507,6.6135,25.0,dump1090
91023,50.9196,6.2045,20.0,dump1090
-1408236948,51.6693,7.7867,256.0,dump1090
90813,52.12904,5.0189,13.0,dump1090
-1408234751,53.6281,9.842,13.0,dump1090
-1408237031,53.7635,9.6376,15.0,dump1090
-1408236987,53.2152,6.5709,20.0,dump1090
-1408236536,52.30227,4.8577,45.0,dump1090
-1408237567,52.532751,7.309251,32.0,dump1090
-1408234700,50.9313,6.86,13.0,dump1090
-1408235501,55.6735184,13.1370909,24.0,dump1090
954785008,50.9215087890625,6.953347682952881,55.5764274597168,Radarcape
1517795776,51.99193572998047,6.914833068847656,45.5462760925293,Radarcape
1517933455,51.341670989990234,5.893155574798584,40.67951583862305,Radarcape
956189714,51.59001922607422,4.800710678100586,1.2592836618423462,Radarcape
-1408236963,52.4356,13.5866,55.0,dump1090
1515785882,51.28514862060547,6.82944917678833,20.68807601928711,Radarcape
1431722486,51.59001922607422,4.800797462463379,3.0917136669158936,Radarcape
1922535493,50.937178,7.353722,0.0,Radarcape
955906058,50.83799743652344,4.856447219848633,52.868011474609375,Radarcape
1149721653,51.630287170410156,4.948856353759766,18.871999740600586,Radarcape
970505392,49.7029054,6.6933892,415.05,GRX1090
2037618632,51.58999252319336,4.800631523132324,7.997000217437744,Radarcape
-1408235303,51.4414,5.5226,30.0,dump1090
-1408237498,52.436032,13.361454,10.0,dump1090
-1408235327,52.2125,12.98,120.0,dump1090
701887538,51.486576080322266,7.59774112701416,146.59970092773438,Radarcape
-1408235906,51.558435,6.735126,40.0,dump1090
1614935208,52.0336,5.5645,27.0,Radarcape
-1408237208,51.22847,6.679641,46.0,dump1090
1517780356,55.6733512878418,12.446784019470215,17.23673439025879,Radarcape
-1408235159,54.1007,13.0356,14.0,dump1090
-1408237018,53.765532,9.680174,20.0,dump1090
-1408235163,51.1057,6.8191,28.0,dump1090
970509706,50.2060011,6.9784485,450.355,GRX1090
970520480,50.0485295,8.4879547,92.977,GRX1090
821472946,50.125396728515625,8.645694732666016,127.6346206665039,Radarcape
970520524,49.4248708,7.7565117,281.29,GRX1090
1673211360,50.338199615478516,4.963064670562744,276.349365234375,Radarcape
1917181722,49.836814880371094,8.90845775604248,221.2015838623047,Radarcape
2098032836,52.56928634643555,13.081747055053711,44.61407470703125,Radarcape
-1408234749,52.152359,4.6674,6.0,dump1090
309376198,50.821346282958984,6.235667705535889,196.91954040527344,Radarcape
-1408235027,51.6024,5.3225,8.0,dump1090
-1408235887,51.8947,8.84088,80.0,dump1090
-1408236270,52.40169,13.54265,35.0,dump1090
-1408234543,50.9061,6.9713,250.0,dump1090
-1408235677,52.41002,13.672615,35.0,dump1090
-1408235544,51.357679,7.247718,211.0,dump1090
90741,52.2108,4.4042,39.0,dump1090
90689,52.6549,4.813,4.8768,dump1090
-1408237460,49.9943,8.6604,136.0,dump1090
-1408237166,53.306334,9.987466,22.0,dump1090
-1408234554,50.83628266,6.07198209,169.0,dump1090
-1408235945,51.24417,6.95681,475.722,dump1090
-1408236550,52.1608,4.5241,7.0,dump1090
-1408235515,52.6647,5.215,30.0,dump1090
970504522,51.4438636,7.016798,96.222,GRX1090
-1408235559,51.461705,6.813569,169.0,dump1090
90952,51.365207,9.43089,215.0,dump1090
333333392,49.569286,6.064015,343.0,dump1090
-1408234821,50.904404,4.508195,93.874,dump1090
333333990,49.569286,6.064015,343.0,dump1090
-1408236446,50.3776,8.89724,427.0,dump1090
90251,50.12548873634739,8.697875440120697,404.0,dump1090
1408237117,50.8516,4.3993,90.0,dump1090
852742020,49.54356384277344,11.026911735534668,319.5671691894531,Radarcape
954776276,50.039119720458984,8.3891019821167,126.69795227050781,Radarcape
970510088,49.2875722,7.6039815,410.652,GRX1090
-1408234758,52.20917,6.91532,115.0,dump1090
-1408234518,52.043823,4.646932,-4.0,dump1090
-1408237427,50.812,6.3734,150.0,dump1090
956143420,51.24281311035156,6.684990882873535,43.901065826416016,Radarcape
-1408237431,52.284961,8.025576,89.0,dump1090
1152932234,51.40650177001953,6.938628196716309,136.5760040283203,Radarcape
-1408236246,50.697,7.165,74.0,dump1090
-1408235840,51.42518,6.94386,133.0,dump1090
-1408236108,51.9708,7.5958,66.0,dump1090
90086,52.4730412,4.7494738000000325,96.0,dump1090
970509887,49.4247619,7.7530528,285.23,GRX1090
91114,52.706236755573315,5.7593622459411336,50.0,dump1090
-1408237345,50.7428,7.0961,77.0,dump1090
-1408236934,55.31463,12.060169,90.0,dump1090
90694,52.208,52.208,4.4079,dump1090
91006,52.2587,6.758,16.0,dump1090
90303,52.262699128353105,13.619792684912682,215.0,dump1090
2076197164,52.132537841796875,10.282666206359863,113.6729965209961,Radarcape
31405,49.40854,6.950260000000071,200.0,SBS-3
-1408235467,50.79706,5.70798,62.0,dump1090
90593,50.25581,8.676249999999982,778.0,dump1090
42064840,50.03495407104492,8.24126148223877,104.19692993164062,Radarcape
1801277291,49.91887283325195,8.33007526397705,113.93003845214844,Radarcape
-1408236346,51.7341,-10.2441,248.0,dump1090
-1408236187,52.6624,10.0604,69.0,dump1090
-1408235188,7.611,50.37725,66.0,dump1090
-1408234983,50.9645,7.0381,52.0,dump1090
-1408236207,51.293249,8.608715,587.0,dump1090
-1408234678,50.17892,8.61955,152.0,dump1090
698566774,49.5343017578125,8.07613754272461,235.84950256347656,Radarcape
-1408235024,52.5263,13.4738,27.0,dump1090
90654,47.56561,7.52137,330.0,dump1090
-1408237507,52.532751,7.309251,32.0,dump1090
-1408236943,54.058,9.4009,40.0,dump1090
91032,52.322825,4.966934,10.0,dump1090
-1408235792,56.0107,14.1512,3.0,dump1090
1801273114,49.98820495605469,8.59184455871582,134.77499389648438,Radarcape
-1408236393,50.7015,8.314159,270.0,dump1090
-1408237061,50.84692,5.70646,50.0,dump1090
955915774,49.45659255981445,7.7774529457092285,300.8486328125,Radarcape
-1408237060,50.84692,5.70646,50.0,dump1090
434971751,49.99003982543945,8.415716171264648,48.07600021362305,Radarcape
1344390019,49.424869537353516,7.75290060043335,287.31744384765625,Radarcape
-1408236831,50.0808,8.2852,183.0,dump1090
-1408236970,50.88608,8.13946,332.0,dump1090
-1408237564,52.2536888122559,7.99295997619629,72.0,dump1090
-1408234731,51.97143,6.71426,50.0,dump1090
-1408237440,52.532751,7.309251,32.0,dump1090
-1408237067,52.586278,4.703447,9.0,dump1090
-1408235938,56.1312,13.8792,34.0,dump1090
-1408234944,55.70691,13.16566,35.0,dump1090
81184403,54.51919174194336,9.37131404876709,5.529475688934326,Radarcape
-1408236481,53.136058,8.224194,10.0,dump1090
91016,50.27184,8.64698999999996,600.0,dump1090
-1408235553,50.2724,8.6462,600.0,dump1090
-1408235424,55.49989,9.45236,61.0,dump1090
-1408236529,52.7194,8.2766,10.0584,dump1090
-1408234779,50.118,8.6333,364.0,dump1090
838789966,49.529666900634766,10.906112670898438,327.95098876953125,Radarcape
-1408234882,49.738,12.287,542.0,dump1090
-1408235787,49.8665,8.55855,98.0,dump1090
-1408236728,50.5773,8.93602,231.0,dump1090
-1408235102,51.1058,9.6474,305.0,dump1090
1801985501,50.57950210571289,11.1417818069458,654.0523071289062,Radarcape
-1408235387,50.0256,8.87213,149.0,dump1090
-1408235080,51.2237,8.4812,576.0,dump1090
-1408235581,49.455562,7.804489,281.0,dump1090
1434682727,47.34717940416684,8.641770532499992,658.1868532409665,Radarcape
-1408236365,48.2664055,11.6682685,493.3066,dump1090
-1408234526,51.257023,8.937833,381.0,dump1090
1805974151,48.296630859375,10.137471199035645,499.3800354003906,Radarcape
-1408236329,51.7254,10.2515,255.0,dump1090
-1408234553,49.9832,9.568,184.0,dump1090
-1408235743,50.20869,8.57686,279.0,dump1090
-1408236005,55.5614,12.9869,95.0,dump1090
-1408234723,50.1206867,11.4430991,1102.0,dump1090
-1408235586,0.0,0.0,0.0,dump1090
-1408235951,51.7775,13.3188,90.0,dump1090
970505645,52.3603689,8.9629424,50.241,GRX1090
80695182,47.51204299926758,10.280169486999512,753.10595703125,Radarcape
1344389387,50.88950729370117,11.609880447387695,204.006591796875,Radarcape
90441,50.88957,11.61012,175.0,dump1090
-1408234784,48.45878,11.93151,439.0,dump1090
-1408237157,47.8358,12.0473,470.0,dump1090
1805962475,48.89141082763672,9.17758846282959,306.761474609375,Radarcape
-1408236045,51.046734,13.798366,118.0,dump1090
1237313208,51.330955505371094,12.312602996826172,136.91200256347656,Radarcape
-1408236345,48.0934,11.0267,600.0,dump1090
701807807,48.091922760009766,11.571552276611328,546.5631103515625,Radarcape
-1408235111,48.39127,9.95965,496.0,dump1090
-1408235818,55.643476,12.616156,6.0,dump1090
-1408236299,49.4052,11.1772,341.0,dump1090
-1408235465,52.4259,13.301,46.0,dump1090
-1408234625,48.27,12.15,1550.0,dump1090
90102,48.996438064932285,14.39208984375,1283.0,dump1090
-1408236745,49.55713,10.86463,331.0,dump1090
-1408235075,50.04475,14.43677,282.0,dump1090
-1408236373,48.318325,11.662741,469.0,dump1090
-1408235208,49.0014,12.0846,438.0,dump1090
809943856,47.830406188964844,12.971924781799316,432.802001953125,Radarcape
-1408235629,49.3528,11.3445,400.0,dump1090
-1408237264,51.062848,13.674202,145.0,dump1090
-1408236843,49.15917,15.1995,546.5,dump1090
1408237078,51.3821,13.6711,105.0,dump1090
-1408237083,48.2459,11.6559,493.0,dump1090
-1408236438,50.0673,14.4519,202.0,dump1090
-1408236062,48.10046,13.41381,15.0,dump1090
-1408234837,48.02877,13.78974,428.8,dump1090
-1408237480,47.9248,13.8296,495.0,dump1090
-1408235895,48.11655,16.61217,154.0,dump1090
-1408235285,50.2108,18.9985,336.0,dump1090
-1408237472,48.137,16.331,225.0,dump1090
93308186,48.40918731689453,11.754720687866211,509.6050109863281,Radarcape
-1408235722,48.152109,17.157085,205.0,dump1090
-1408237521,48.2886,16.4514,161.0,dump1090
80694153,48.196693736545335,16.371109811114678,246.88910620880125,Radarcape
-1408235284,50.1687,18.6628,257.0,dump1090
-1408235469,49.9096492,18.3605003,216.0,dump1090
-1408237470,47.77326,16.33603,265.0,dump1090
-1408235316,48.7105,15.0641,650.0,dump1090
-1408237469,47.773263,16.33603,265.0,dump1090
91191,49.1642526,16.7186161,789.0,dump1090
1643341395,47.06711959838867,15.493515968322754,502.6969909667969,Radarcape
-1408236607,48.0483,16.515,200.0,dump1090
-1408234811,49.1818475,16.6045417,210.5,dump1090
-1408235782,48.20984,16.21538,241.0,dump1090
-1408235783,48.20984,16.21538,244.0,dump1090
-1408236172,48.229271,16.318949,263.0,dump1090
